Regional,Ano,Mês,Data,Ocorrência,Solicitação,Endereço,Bairro,Localidade,mE,mN,Grau de Risco,Data da Ação,Tipo da Ação,Observação
Noroeste,2013,Julho,25/7/2013,Transbordamento de Canais,,"1ª Trav. Massaranduba, 133",Macaxeira,,,,R3,25/7/2013,,
Planície,2013,Julho,25/7/2013,Alagamentos,,"Rua Motocolombó, 310",Afogados,,,,,25/7/2013,,
Planície,2014,Janeiro,9/1/2014,Alagamentos,Monitoramento Setor Alagado,Comunidade Rio Morno,Linha do Tiro,,,,R1,9/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,14/1/2014,Imóveis Alagados,Monitoramento Alagado,"Av. Tancredo Neves, S/N",Brejo da Guabiraba,,237543,9059014,R1,14/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,14/1/2014,Imóveis Alagados,Monitoramento Alagado,"Av. Tancredo Neves, S/N",Brejo da Guabiraba,,237546,9058982,R1,14/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,14/1/2014,Imóveis Alagados,Monitoramento Alagado,"Av. Tancredo Neves, S/N",Brejo da Guabiraba,,237493,9058614,R1,14/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,14/1/2014,Imóveis Alagados,Monitoramento Alagado,"Av. Tancredo Neves, S/N",Brejo da Guabiraba,,238046,9058422,R1,14/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,14/1/2014,Imóveis Alagados,Monitoramento Alagado,"Av. Tancredo Neves, S/N",Brejo da Guabiraba,,238046,9058422,R1,14/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,14/1/2014,Imóveis Alagados,Monitoramento Alagado,Av. Canaã,Brejo da Guabiraba,,238644,9058494,R1,14/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,14/1/2014,Imóveis Alagados,Monitoramento Alagado,Rua Santa Tereza,Brejo da Guabiraba,,235262,9063650,R1,14/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,15/1/2014,Imóveis Alagados,Monitoramento Alagado,Canal de Nova Descoberta Com Rio Morno,Brejo da Guabiraba,,288210,9115214,R1,15/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,15/1/2014,Imóveis Alagados,Monitoramento Alagado,Travessa Chagas Ferreira,Brejo da Guabiraba,,288257,9118164,R1,15/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,15/1/2014,Imóveis Alagados,Monitoramento Alagado,Travessa Chagas Ferreira,Brejo da Guabiraba,,288201,9115142,R1,15/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,15/1/2014,Imóveis Alagados,Monitoramento Alagado,Travessa Chagas Ferreira,Brejo da Guabiraba,,288302,9115212,R1,15/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,15/1/2014,Imóveis Alagados,Monitoramento Alagado,Esquina Rua da Paz Rio Morno,Brejo da Guabiraba,,288469,9115078,R1,15/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,15/1/2014,Imóveis Alagados,Monitoramento Alagado,Ponto Onde Atinge Aterro do Canal,Brejo da Guabiraba,,288714,9114944,R1,15/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,15/1/2014,Imóveis Alagados,Monitoramento Alagado,Ponto Onde Atinge Aterro do Canal,Brejo da Guabiraba,,288990,9114722,R1,15/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,15/1/2014,Imóveis Alagados,Monitoramento Alagado,2a Travessa Chagas Ferreira,Brejo da Guabiraba,,289333,9114548,R1,15/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,15/1/2014,Imóveis Alagados,Monitoramento Alagado,Rua Eladio Caboim,Brejo da Guabiraba,,289627,9114412,R1,15/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,15/1/2014,Imóveis Alagados,Monitoramento Alagado,Rua Rio Tinto,Brejo da Guabiraba,,289810,9114386,R1,15/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,15/1/2014,Imóveis Alagados,Monitoramento Alagado,Ponto 11 Elev 21,Brejo da Guabiraba,,289810,9114386,R1,15/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,15/1/2014,Imóveis Alagados,Monitoramento Alagado,Ponto 11 Elev 31,Brejo da Guabiraba,,290007,9114434,R1,15/1/2014,Mapeamento de Área de Risco,
Planície,2014,Janeiro,15/1/2014,Imóveis Alagados,Monitoramento Alagado,Ponto 12 Elev 25,Brejo da Guabiraba,,290216,9114526,R1,15/1/2014,Mapeamento de Área de Risco,
Planície,2014,Fevereiro,6/2/2014,Imóveis Alagados,Monitoramento Setor Alagado,Rua João Paulo Ii,Areias,,286757,9103656,R1,6/2/2014,Mapeamento de Área de Risco,
Planície,2014,Fevereiro,6/2/2014,Imóveis Alagados,Monitoramento Setor Alagado,,Areias ,,286802,9103612,R1,6/2/2014,Mapeamento de Área de Risco,
Planície,2014,Fevereiro,6/2/2014,Imóveis Alagados,Monitoramento Setor Alagado,Rua Ximboré Próximo A Numero 352,Areias,,287198,9103702,R1,6/2/2014,Mapeamento de Área de Risco,
Planície,2014,Fevereiro,6/2/2014,Imóveis Alagados,Monitoramento Setor Alagado,Av. Recife Ponte,Areias,,287575,9103884,R1,6/2/2014,Mapeamento de Área de Risco,
Planície,2014,Fevereiro,6/2/2014,Imóveis Alagados,Monitoramento Setor Alagado,2a Travessa dos Prazeres,Areias,,287852,9103948,R1,6/2/2014,Mapeamento de Área de Risco,
Planície,2014,Fevereiro,6/2/2014,Imóveis Alagados,Monitoramento Setor Alagado,Rua Parente Viana,Areias,,288196,9104740,R1,6/2/2014,Mapeamento de Área de Risco,
Planície,2014,Fevereiro,6/2/2014,Imóveis Alagados,Monitoramento Setor Alagado,Rua do Rio,Areias,,288079,9105022,R1,6/2/2014,Mapeamento de Área de Risco,
Planície,2014,Fevereiro,15/2/2014,Imóveis Alagados,Vistoria em Imóveis,"Rua São Bento, 256",Água Fria,,,,R1,17/2/2014,,
Planície,2014,Março,17/3/2014,Imóveis Alagados,Monitoramento Alagado,Av. Central Ao Lado da Linha do Metro,Jd. São Paulo,,286392,9105640,R1,17/3/2014,Mapeamento de Área de Risco,
Planície,2014,Março,17/3/2014,Imóveis Alagados,Monitoramento Alagado,Rua Armando Saes de Oliveira Próximo Ao Numero 244 E 244 A,Jd. São Paulo,,286493,9105316,R1,17/3/2014,Mapeamento de Área de Risco,
Planície,2014,Março,17/3/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Guarulhos, Próximo Ao 32 E 34 A",Jd. São Paulo,,286291,9105678,R1,17/3/2014,Mapeamento de Área de Risco,
Planície,2014,Março,17/3/2014,Imóveis Alagados,Monitoramento Alagado,Rua Guarulhos Esquina Com A Rua Hercilio Teixeira Lins Próximo A Casa 88,Jd. São Paulo,,286153,9105760,R1,17/3/2014,Mapeamento de Área de Risco,
Planície,2014,Março,c,Imóveis Alagados,Monitoramento Alagado,Canal do Guarulhos,Jd. São Paulo,,286077,9106690,R1,19/3/2014,Mapeamento de Área de Risco,
Planície,2014,Março,20/3/2014,Imóveis Alagados,Monitoramento Alagado,Canal do Guarulhos,Jd. São Paulo,,286622,9116166,R1,20/3/2014,Mapeamento de Área de Risco,
