Ano,Mês,Data,Bairro
2013,Julho,25/7/2013,Macaxeira
2013,Julho,25/7/2013,Afogados
2014,Janeiro,9/1/2014,Linha do Tiro
2014,Janeiro,14/1/2014,Brejo da Guabiraba
2014,Janeiro,14/1/2014,Brejo da Guabiraba
2014,Janeiro,14/1/2014,Brejo da Guabiraba
2014,Janeiro,14/1/2014,Brejo da Guabiraba
2014,Janeiro,14/1/2014,Brejo da Guabiraba
2014,Janeiro,14/1/2014,Brejo da Guabiraba
2014,Janeiro,14/1/2014,Brejo da Guabiraba
2014,Janeiro,15/1/2014,Brejo da Guabiraba
2014,Janeiro,15/1/2014,Brejo da Guabiraba
2014,Janeiro,15/1/2014,Brejo da Guabiraba
2014,Janeiro,15/1/2014,Brejo da Guabiraba
2014,Janeiro,15/1/2014,Brejo da Guabiraba
2014,Janeiro,15/1/2014,Brejo da Guabiraba
2014,Janeiro,15/1/2014,Brejo da Guabiraba
2014,Janeiro,15/1/2014,Brejo da Guabiraba
2014,Janeiro,15/1/2014,Brejo da Guabiraba
2014,Janeiro,15/1/2014,Brejo da Guabiraba
2014,Janeiro,15/1/2014,Brejo da Guabiraba
2014,Janeiro,15/1/2014,Brejo da Guabiraba
2014,Janeiro,15/1/2014,Brejo da Guabiraba
2014,Fevereiro,6/2/2014,Areias
2014,Fevereiro,6/2/2014,Areias 
2014,Fevereiro,6/2/2014,Areias
2014,Fevereiro,6/2/2014,Areias
2014,Fevereiro,6/2/2014,Areias
2014,Fevereiro,6/2/2014,Areias
2014,Fevereiro,6/2/2014,Areias
2014,Fevereiro,15/2/2014,Água Fria
2014,Março,17/3/2014,Jd. São Paulo
2014,Março,17/3/2014,Jd. São Paulo
2014,Março,17/3/2014,Jd. São Paulo
2014,Março,17/3/2014,Jd. São Paulo
2014,Março,19/3/2014,Jd. São Paulo
2014,Março,20/3/2014,Jd. São Paulo
2014,Março,20/3/2014,Jd. São Paulo
2014,Março,20/3/2014,Jd. São Paulo
2014,Março,20/3/2014,Jd. São Paulo
2014,Março,20/3/2014,Jd. São Paulo
2014,Março,20/3/2014,Jd. São Paulo
2014,Março,20/3/2014,Jd. São Paulo
2014,Abril,1/4/2014,San Martin
2014,Abril,1/4/2014,San Martin
2014,Abril,1/4/2014,San Martin
2014,Abril,1/4/2014,San Martin
2014,Abril,1/4/2014,San Martin
2014,Abril,1/4/2014,San Martin
2014,Abril,1/4/2014,San Martin
2014,Abril,3/4/2014,San Martin
2014,Abril,3/4/2014,Estância
2014,Abril,3/4/2014,Estância
2014,Abril,3/4/2014,San Martin
2014,Abril,3/4/2014,San Martin
2014,Abril,3/4/2014,San Martin
2014,Abril,3/4/2014,Jd. São Paulo
2014,Abril,7/4/2014,Curado
2014,Abril,7/4/2014,Curado
2014,Abril,8/4/2014,Jd. São Paulo
2014,Abril,8/4/2014,Jd. São Paulo
2014,Abril,8/4/2014,Jd. São Paulo
2014,Abril,8/4/2014,Jd. São Paulo
2014,Abril,8/4/2014,Jd. São Paulo
2014,Abril,8/4/2014,Jd. São Paulo
