Código,Posto,Mês/Ano,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
265,Recife (Alto da Brasileira),01/07/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.8,12.1,12.5,0,0,0,11.3,10288.8
196,Recife (Codecipe / Santo Amaro),01/07/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4721.2
378,Recife (Santo Amaro),01/07/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
30,Recife (Várzea),01/07/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.5,26.6,1.7,-,9.2,0.6,13.8,12109.2
265,Recife (Alto da Brasileira),01/08/13,0,2.4,0,0,0,0,0,7,7.1,0,0,5.2,0,28,38,0,0,5.1,6.2,41,2.8,0,8.6,0,0,4.7,2.1,10,0,20,8.2,10288.8
196,Recife (Codecipe / Santo Amaro),01/08/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4721.2
378,Recife (Santo Amaro),01/08/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
30,Recife (Várzea),01/08/13,4.5,0.5,0,1.2,1,0.2,0.6,1.6,7.6,6.4,0.4,0.2,7,55,11.4,0.6,1,51.8,21.4,9.3,7.4,8,0.2,1.6,0.2,0.2,6.1,0,0,15.4,3.2,12109.2
265,Recife (Alto da Brasileira),01/09/13,1.3,0,6.4,16.8,27,0,1,3.2,14,16.2,40.5,0,11,6,0,1.4,0,6.8,0,0,2.1,5.1,1.9,0,0,0,0,0,0,0.6,-,10288.8
196,Recife (Codecipe / Santo Amaro),01/09/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4721.2
378,Recife (Santo Amaro),01/09/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
30,Recife (Várzea),01/09/13,3,10.8,4.4,27,0.2,0.4,7,4.4,14.2,30.2,1.8,6.2,14.3,2,1.4,5,0,2.4,0,0,0,2.2,3.3,0,0,0,0,0.8,0,5,-,12109.2
265,Recife (Alto da Brasileira),01/10/13,10,0,0.5,0,0,0,0,0,5,0,0,0,0,4.2,2.5,0,1.6,0,1,0,0,0,0,0,7.5,7.8,14.9,1,0,0,0,10288.8
196,Recife (Codecipe / Santo Amaro),01/10/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4721.2
378,Recife (Santo Amaro),01/10/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
30,Recife (Várzea),01/10/13,4.6,0.4,3.5,0,0.5,0,0,0,11.3,0,0.4,13.9,0.2,3.2,10.6,10.4,3.6,0,0.2,0,2,0,0,26.2,3,0.8,31.5,1,0,1.2,0,12109.2
265,Recife (Alto da Brasileira),01/11/13,0,37,4.1,6.6,0,0,0.2,0.5,0,0,2.5,0,0,0,0,0,0,5.5,0,0,10.9,0,0,0,0,0,0,0,0,0,-,10288.8
196,Recife (Codecipe / Santo Amaro),01/11/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4721.2
378,Recife (Santo Amaro),01/11/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
30,Recife (Várzea),01/11/13,0,27.5,1.6,10.6,0,0,1.2,0,0,1,0,0,0,0.8,0,0,0,2.6,0,0,28,0.4,0,0.8,0,0,0,0,0,2,-,12109.2
265,Recife (Alto da Brasileira),01/12/13,0,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,63,0,2.6,3.6,0,0,0,0,0,0,0,0,10288.8
196,Recife (Codecipe / Santo Amaro),01/12/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4721.2
378,Recife (Santo Amaro),01/12/13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
30,Recife (Várzea),01/12/13,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,113.1,42.2,0,4.4,3.6,1,0,0,0,0,0,0,4.8,12109.2
265,Recife (Alto da Brasileira),01/01/14,0,17.6,0,0,0,33.1,0,0,0,53.8,0,13,4.5,0,4,4.2,0,0,0,5.4,0,0,0,0,0,11,4.2,0.7,8.5,1.5,0,10288.8
196,Recife (Codecipe / Santo Amaro),01/01/14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4721.2
378,Recife (Santo Amaro),01/01/14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
30,Recife (Várzea),01/01/14,0,0,0,0,0,13.9,0,0,1,31.6,0,18.3,5.1,0,6.8,0,0,7.2,2,0,0,0,0,0,0,8,5.6,0,0.6,6.2,0,12109.2
265,Recife (Alto da Brasileira),01/02/14,0,0,4.1,9.7,0,9.5,3.6,13.7,8.7,17.5,8.7,3.5,0,1.2,7.6,0,0,11.1,0,0,0,0.5,0,0.3,0,0,0,0,-,-,-,10288.8
196,Recife (Codecipe / Santo Amaro),01/02/14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4721.2
378,Recife (Santo Amaro),01/02/14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
30,Recife (Várzea),01/02/14,0,6,11.6,0.8,0,9,35,13,24.3,12.4,0.4,0.2,3,16.6,0,0,0,0,0,12.5,0.4,5.1,0.6,0,0,0,0,0,-,-,-,12109.2
